threshold,tpr,fpr,tp,fp,fn,tn,method,kernel_stddev
Inf,0.0,0.0,0,0,43,163,original_BAME,NaN
0.997976005314147,0.023255813953488372,0.0,1,0,42,163,original_BAME,NaN
0.9707226971884334,0.046511627906976744,0.0,2,0,41,163,original_BAME,NaN
0.9691439312518394,0.06976744186046512,0.0,3,0,40,163,original_BAME,NaN
0.965429952819729,0.09302325581395349,0.0,4,0,39,163,original_BAME,NaN
0.905648266528881,0.09302325581395349,0.006134969325153374,4,1,39,162,original_BAME,NaN
0.8628273580776662,0.11627906976744186,0.006134969325153374,5,1,38,162,original_BAME,NaN
0.7622571806379231,0.13953488372093023,0.006134969325153374,6,1,37,162,original_BAME,NaN
0.7333366712483971,0.13953488372093023,0.012269938650306749,6,2,37,161,original_BAME,NaN
0.6493624066694724,0.16279069767441862,0.012269938650306749,7,2,36,161,original_BAME,NaN
0.6348824207592402,0.16279069767441862,0.018404907975460124,7,3,36,160,original_BAME,NaN
0.6150663000641504,0.18604651162790697,0.018404907975460124,8,3,35,160,original_BAME,NaN
0.5641717605265182,0.20930232558139536,0.018404907975460124,9,3,34,160,original_BAME,NaN
0.5111170498435037,0.23255813953488372,0.018404907975460124,10,3,33,160,original_BAME,NaN
0.4872244123440716,0.23255813953488372,0.024539877300613498,10,4,33,159,original_BAME,NaN
0.4818866581153437,0.2558139534883721,0.024539877300613498,11,4,32,159,original_BAME,NaN
0.4369704456848069,0.27906976744186046,0.024539877300613498,12,4,31,159,original_BAME,NaN
0.43386975699567865,0.27906976744186046,0.03067484662576687,12,5,31,158,original_BAME,NaN
0.43147430866096687,0.3023255813953488,0.03067484662576687,13,5,30,158,original_BAME,NaN
0.3445643282988431,0.3023255813953488,0.03680981595092025,13,6,30,157,original_BAME,NaN
0.3384248198236254,0.32558139534883723,0.03680981595092025,14,6,29,157,original_BAME,NaN
0.33147877482220556,0.32558139534883723,0.04294478527607362,14,7,29,156,original_BAME,NaN
0.32756773689466095,0.3488372093023256,0.04294478527607362,15,7,28,156,original_BAME,NaN
0.3192133279183057,0.37209302325581395,0.04294478527607362,16,7,27,156,original_BAME,NaN
0.3107435990117522,0.3953488372093023,0.04294478527607362,17,7,26,156,original_BAME,NaN
0.3022807465917424,0.4186046511627907,0.04294478527607362,18,7,25,156,original_BAME,NaN
0.3020347137365163,0.4186046511627907,0.049079754601226995,18,8,25,155,original_BAME,NaN
0.29888411309844787,0.4418604651162791,0.049079754601226995,19,8,24,155,original_BAME,NaN
0.29427568367053913,0.46511627906976744,0.049079754601226995,20,8,23,155,original_BAME,NaN
0.28302001695097306,0.46511627906976744,0.05521472392638037,20,9,23,154,original_BAME,NaN
0.2790350435545901,0.4883720930232558,0.05521472392638037,21,9,22,154,original_BAME,NaN
0.270615838144961,0.4883720930232558,0.06134969325153374,21,10,22,153,original_BAME,NaN
0.2683013296648437,0.5116279069767442,0.06134969325153374,22,10,21,153,original_BAME,NaN
0.25018377054339985,0.5116279069767442,0.06748466257668712,22,11,21,152,original_BAME,NaN
0.24932050676870332,0.5116279069767442,0.0736196319018405,22,12,21,151,original_BAME,NaN
0.24139484168259534,0.5348837209302325,0.0736196319018405,23,12,20,151,original_BAME,NaN
0.23124081009865524,0.5348837209302325,0.07975460122699386,23,13,20,150,original_BAME,NaN
0.22286880792079955,0.5348837209302325,0.08588957055214724,23,14,20,149,original_BAME,NaN
0.22080763144158158,0.5348837209302325,0.09202453987730061,23,15,20,148,original_BAME,NaN
0.21744499670279271,0.5581395348837209,0.09202453987730061,24,15,19,148,original_BAME,NaN
0.2112216206963187,0.5581395348837209,0.09815950920245399,24,16,19,147,original_BAME,NaN
0.20779013473058783,0.5581395348837209,0.10429447852760736,24,17,19,146,original_BAME,NaN
0.20651281604331714,0.5581395348837209,0.11042944785276074,24,18,19,145,original_BAME,NaN
0.205913992857399,0.5581395348837209,0.1165644171779141,24,19,19,144,original_BAME,NaN
